"rate_mode","physical_rate_khz","bandwidth_khz","super_frame_num","tested_combinations","normal_combinations","fallback_combinations","max_supported_ul_dl_sum"
"8","16","500","60","256","0","256","0"
"8","16","500","61","256","0","256","0"
"8","16","500","62","256","0","256","0"
"8","16","500","63","256","0","256","0"
"8","16","500","64","256","0","256","0"
"8","16","500","65","256","0","256","0"
"8","16","500","66","256","0","256","0"
"8","16","500","67","256","0","256","0"
"8","16","500","68","256","0","256","0"
"8","16","500","69","256","0","256","0"
"8","16","500","70","256","0","256","0"
"8","16","500","71","256","0","256","0"
"8","16","500","72","256","0","256","0"
"8","16","500","73","256","0","256","0"
"8","16","500","74","256","0","256","0"
"8","16","500","75","256","0","256","0"
"8","16","500","76","256","0","256","0"
"8","16","500","77","256","0","256","0"
"8","16","500","78","256","0","256","0"
"8","16","500","79","256","0","256","0"
"8","16","500","80","256","0","256","0"
"8","16","500","81","256","0","256","0"
"8","16","500","82","256","0","256","0"
"8","16","500","83","256","0","256","0"
"8","16","500","84","256","0","256","0"
"8","16","500","85","256","0","256","0"
"8","16","500","86","256","0","256","0"
"8","16","500","87","256","0","256","0"
"8","16","500","88","256","0","256","0"
"8","16","500","89","256","0","256","0"
"8","16","500","90","256","0","256","0"
"8","16","500","91","256","0","256","0"
"8","16","500","92","256","0","256","0"
"8","16","500","93","256","0","256","0"
"8","16","500","94","256","0","256","0"
"8","16","500","95","256","0","256","0"
"8","16","500","96","256","0","256","0"
"8","16","500","97","256","0","256","0"
"8","16","500","98","256","0","256","0"
"8","16","500","99","256","0","256","0"
"8","16","500","100","256","0","256","0"
"9","32","500","1","256","256","0","32"
"9","32","500","2","256","256","0","32"
"9","32","500","3","256","256","0","32"
"9","32","500","4","256","256","0","32"
"9","32","500","5","256","256","0","32"
"9","32","500","6","256","256","0","32"
"9","32","500","7","256","256","0","32"
"9","32","500","8","256","256","0","32"
"9","32","500","9","256","256","0","32"
"9","32","500","10","256","256","0","32"
"9","32","500","11","256","0","256","0"
"9","32","500","12","256","256","0","32"
"9","32","500","13","256","0","256","0"
"9","32","500","14","256","228","28","25"
"9","32","500","15","256","255","1","31"
"9","32","500","16","256","256","0","32"
"9","32","500","17","256","0","256","0"
"9","32","500","18","256","228","28","25"
"9","32","500","19","256","0","256","0"
"9","32","500","20","256","228","28","25"
"9","32","500","21","256","0","256","0"
"9","32","500","22","256","0","256","0"
"9","32","500","23","256","0","256","0"
"9","32","500","24","256","151","105","18"
"9","32","500","25","256","165","91","19"
"9","32","500","26","256","0","256","0"
"9","32","500","27","256","0","256","0"
"9","32","500","28","256","45","211","10"
"9","32","500","29","256","0","256","0"
"9","32","500","30","256","78","178","13"
"9","32","500","31","256","0","256","0"
"9","32","500","32","256","91","165","14"
"9","32","500","33","256","0","256","0"
"9","32","500","34","256","0","256","0"
"9","32","500","35","256","21","235","7"
"9","32","500","36","256","45","211","10"
"9","32","500","37","256","0","256","0"
"9","32","500","38","256","0","256","0"
"9","32","500","39","256","0","256","0"
"9","32","500","40","256","45","211","10"
"9","32","500","41","256","0","256","0"
"9","32","500","42","256","0","256","0"
"9","32","500","43","256","0","256","0"
"9","32","500","44","256","0","256","0"
"9","32","500","45","256","21","235","7"
"9","32","500","46","256","0","256","0"
"9","32","500","47","256","0","256","0"
"9","32","500","48","256","15","241","6"
"9","32","500","49","256","0","256","0"
"9","32","500","50","256","21","235","7"
"9","32","500","51","256","0","256","0"
"9","32","500","52","256","0","256","0"
"9","32","500","53","256","0","256","0"
"9","32","500","54","256","0","256","0"
"9","32","500","55","256","0","256","0"
"9","32","500","56","256","1","255","2"
"9","32","500","57","256","0","256","0"
"9","32","500","58","256","0","256","0"
"9","32","500","59","256","0","256","0"
"9","32","500","60","256","6","250","4"
"9","32","500","61","256","0","256","0"
"9","32","500","62","256","0","256","0"
"9","32","500","63","256","0","256","0"
"9","32","500","64","256","6","250","4"
"9","32","500","65","256","0","256","0"
"9","32","500","66","256","0","256","0"
"9","32","500","67","256","0","256","0"
"9","32","500","68","256","0","256","0"
"9","32","500","69","256","0","256","0"
"9","32","500","70","256","0","256","0"
"9","32","500","71","256","0","256","0"
"9","32","500","72","256","0","256","0"
"9","32","500","73","256","0","256","0"
"9","32","500","74","256","0","256","0"
"9","32","500","75","256","0","256","0"
"9","32","500","76","256","0","256","0"
"9","32","500","77","256","0","256","0"
"9","32","500","78","256","0","256","0"
"9","32","500","79","256","0","256","0"
"9","32","500","80","256","0","256","0"
"9","32","500","81","256","0","256","0"
"9","32","500","82","256","0","256","0"
"9","32","500","83","256","0","256","0"
"9","32","500","84","256","0","256","0"
"9","32","500","85","256","0","256","0"
"9","32","500","86","256","0","256","0"
"9","32","500","87","256","0","256","0"
"9","32","500","88","256","0","256","0"
"9","32","500","89","256","0","256","0"
"9","32","500","90","256","0","256","0"
"9","32","500","91","256","0","256","0"
"9","32","500","92","256","0","256","0"
"9","32","500","93","256","0","256","0"
"9","32","500","94","256","0","256","0"
"9","32","500","95","256","0","256","0"
"9","32","500","96","256","0","256","0"
"9","32","500","97","256","0","256","0"
"9","32","500","98","256","0","256","0"
"9","32","500","99","256","0","256","0"
"9","32","500","100","256","0","256","0"
"10","64","500","1","256","256","0","32"
"10","64","500","2","256","256","0","32"
"10","64","500","3","256","256","0","32"
"10","64","500","4","256","256","0","32"
"10","64","500","5","256","256","0","32"
"10","64","500","6","256","256","0","32"
"10","64","500","7","256","256","0","32"
"10","64","500","8","256","256","0","32"
"10","64","500","9","256","256","0","32"
"10","64","500","10","256","256","0","32"
"10","64","500","11","256","0","256","0"
"10","64","500","12","256","256","0","32"
"10","64","500","13","256","0","256","0"
"10","64","500","14","256","256","0","32"
"10","64","500","15","256","256","0","32"
"10","64","500","16","256","256","0","32"
"10","64","500","17","256","0","256","0"
"10","64","500","18","256","256","0","32"
"10","64","500","19","256","0","256","0"
"10","64","500","20","256","256","0","32"
"10","64","500","21","256","0","256","0"
"10","64","500","22","256","0","256","0"
"10","64","500","23","256","0","256","0"
"10","64","500","24","256","256","0","32"
"10","64","500","25","256","256","0","32"
"10","64","500","26","256","0","256","0"
"10","64","500","27","256","0","256","0"
"10","64","500","28","256","228","28","25"
"10","64","500","29","256","0","256","0"
"10","64","500","30","256","255","1","31"
"10","64","500","31","256","0","256","0"
"10","64","500","32","256","256","0","32"
"10","64","500","33","256","0","256","0"
"10","64","500","34","256","0","256","0"
"10","64","500","35","256","165","91","19"
"10","64","500","36","256","228","28","25"
"10","64","500","37","256","0","256","0"
"10","64","500","38","256","0","256","0"
"10","64","500","39","256","0","256","0"
"10","64","500","40","256","228","28","25"
"10","64","500","41","256","0","256","0"
"10","64","500","42","256","0","256","0"
"10","64","500","43","256","0","256","0"
"10","64","500","44","256","0","256","0"
"10","64","500","45","256","165","91","19"
"10","64","500","46","256","0","256","0"
"10","64","500","47","256","0","256","0"
"10","64","500","48","256","136","120","17"
"10","64","500","49","256","0","256","0"
"10","64","500","50","256","165","91","19"
"10","64","500","51","256","0","256","0"
"10","64","500","52","256","0","256","0"
"10","64","500","53","256","0","256","0"
"10","64","500","54","256","0","256","0"
"10","64","500","55","256","0","256","0"
"10","64","500","56","256","45","211","10"
"10","64","500","57","256","0","256","0"
"10","64","500","58","256","0","256","0"
"10","64","500","59","256","0","256","0"
"10","64","500","60","256","78","178","13"
"10","64","500","61","256","0","256","0"
"10","64","500","62","256","0","256","0"
"10","64","500","63","256","0","256","0"
"10","64","500","64","256","78","178","13"
"10","64","500","65","256","0","256","0"
"10","64","500","66","256","0","256","0"
"10","64","500","67","256","0","256","0"
"10","64","500","68","256","0","256","0"
"10","64","500","69","256","0","256","0"
"10","64","500","70","256","0","256","0"
"10","64","500","71","256","0","256","0"
"10","64","500","72","256","0","256","0"
"10","64","500","73","256","0","256","0"
"10","64","500","74","256","0","256","0"
"10","64","500","75","256","0","256","0"
"10","64","500","76","256","0","256","0"
"10","64","500","77","256","0","256","0"
"10","64","500","78","256","0","256","0"
"10","64","500","79","256","0","256","0"
"10","64","500","80","256","0","256","0"
"10","64","500","81","256","0","256","0"
"10","64","500","82","256","0","256","0"
"10","64","500","83","256","0","256","0"
"10","64","500","84","256","0","256","0"
"10","64","500","85","256","0","256","0"
"10","64","500","86","256","0","256","0"
"10","64","500","87","256","0","256","0"
"10","64","500","88","256","0","256","0"
"10","64","500","89","256","0","256","0"
"10","64","500","90","256","0","256","0"
"10","64","500","91","256","0","256","0"
"10","64","500","92","256","0","256","0"
"10","64","500","93","256","0","256","0"
"10","64","500","94","256","0","256","0"
"10","64","500","95","256","0","256","0"
"10","64","500","96","256","0","256","0"
"10","64","500","97","256","0","256","0"
"10","64","500","98","256","0","256","0"
"10","64","500","99","256","0","256","0"
"10","64","500","100","256","0","256","0"
"11","128","500","1","256","256","0","32"
"11","128","500","2","256","256","0","32"
"11","128","500","3","256","256","0","32"
"11","128","500","4","256","256","0","32"
"11","128","500","5","256","256","0","32"
"11","128","500","6","256","256","0","32"
"11","128","500","7","256","256","0","32"
"11","128","500","8","256","256","0","32"
"11","128","500","9","256","256","0","32"
"11","128","500","10","256","256","0","32"
"11","128","500","11","256","0","256","0"
"11","128","500","12","256","256","0","32"
"11","128","500","13","256","0","256","0"
"11","128","500","14","256","256","0","32"
"11","128","500","15","256","256","0","32"
"11","128","500","16","256","256","0","32"
"11","128","500","17","256","0","256","0"
"11","128","500","18","256","256","0","32"
"11","128","500","19","256","0","256","0"
"11","128","500","20","256","256","0","32"
"11","128","500","21","256","0","256","0"
"11","128","500","22","256","0","256","0"
"11","128","500","23","256","0","256","0"
"11","128","500","24","256","256","0","32"
"11","128","500","25","256","256","0","32"
"11","128","500","26","256","0","256","0"
"11","128","500","27","256","0","256","0"
"11","128","500","28","256","256","0","32"
"11","128","500","29","256","0","256","0"
"11","128","500","30","256","256","0","32"
"11","128","500","31","256","0","256","0"
"11","128","500","32","256","256","0","32"
"11","128","500","33","256","0","256","0"
"11","128","500","34","256","0","256","0"
"11","128","500","35","256","256","0","32"
"11","128","500","36","256","256","0","32"
"11","128","500","37","256","0","256","0"
"11","128","500","38","256","0","256","0"
"11","128","500","39","256","0","256","0"
"11","128","500","40","256","256","0","32"
"11","128","500","41","256","0","256","0"
"11","128","500","42","256","0","256","0"
"11","128","500","43","256","0","256","0"
"11","128","500","44","256","0","256","0"
"11","128","500","45","256","256","0","32"
"11","128","500","46","256","0","256","0"
"11","128","500","47","256","0","256","0"
"11","128","500","48","256","256","0","32"
"11","128","500","49","256","0","256","0"
"11","128","500","50","256","256","0","32"
"11","128","500","51","256","0","256","0"
"11","128","500","52","256","0","256","0"
"11","128","500","53","256","0","256","0"
"11","128","500","54","256","0","256","0"
"11","128","500","55","256","0","256","0"
"11","128","500","56","256","220","36","24"
"11","128","500","57","256","0","256","0"
"11","128","500","58","256","0","256","0"
"11","128","500","59","256","0","256","0"
"11","128","500","60","256","253","3","30"
"11","128","500","61","256","0","256","0"
"11","128","500","62","256","0","256","0"
"11","128","500","63","256","0","256","0"
"11","128","500","64","256","255","1","31"
"11","128","500","65","256","0","256","0"
"11","128","500","66","256","0","256","0"
"11","128","500","67","256","0","256","0"
"11","128","500","68","256","0","256","0"
"11","128","500","69","256","0","256","0"
"11","128","500","70","256","0","256","0"
"11","128","500","71","256","0","256","0"
"11","128","500","72","256","0","256","0"
"11","128","500","73","256","0","256","0"
"11","128","500","74","256","0","256","0"
"11","128","500","75","256","0","256","0"
"11","128","500","76","256","0","256","0"
"11","128","500","77","256","0","256","0"
"11","128","500","78","256","0","256","0"
"11","128","500","79","256","0","256","0"
"11","128","500","80","256","0","256","0"
"11","128","500","81","256","0","256","0"
"11","128","500","82","256","0","256","0"
"11","128","500","83","256","0","256","0"
"11","128","500","84","256","0","256","0"
"11","128","500","85","256","0","256","0"
