"rate_mode","physical_rate_khz","bandwidth_khz","super_frame_num","brd_blocks","ul_blocks","dl_blocks","total_ul_dl_blocks","raw_period_us","frame_period_us","frame_count","added_gap_us","normal_solution","total_duration_us"
"5","2","62.5","1","2","14","11","25","7651743","8000000","1","348257","1","8000000"
"5","2","62.5","1","2","14","12","26","7913887","8000000","1","86113","1","8000000"
"5","2","62.5","1","2","14","13","27","8176031","9000000","1","823969","1","9000000"
"5","2","62.5","1","2","14","14","28","8438175","9000000","1","561825","1","9000000"
"5","2","62.5","1","2","14","15","29","8700319","9000000","1","299681","1","9000000"
"5","2","62.5","1","2","14","16","30","8962463","9000000","1","37537","1","9000000"
"5","2","62.5","1","2","15","1","16","5292447","6000000","1","707553","1","6000000"
"5","2","62.5","1","2","15","2","17","5554591","6000000","1","445409","1","6000000"
"5","2","62.5","1","2","15","3","18","5816735","6000000","1","183265","1","6000000"
"5","2","62.5","1","2","15","4","19","6078879","7000000","1","921121","1","7000000"
"5","2","62.5","1","2","15","5","20","6341023","7000000","1","658977","1","7000000"
"5","2","62.5","1","2","15","6","21","6603167","7000000","1","396833","1","7000000"
"5","2","62.5","1","2","15","7","22","6865311","7000000","1","134689","1","7000000"
"5","2","62.5","1","2","15","8","23","7127455","8000000","1","872545","1","8000000"
"5","2","62.5","1","2","15","9","24","7389599","8000000","1","610401","1","8000000"
"5","2","62.5","1","2","15","10","25","7651743","8000000","1","348257","1","8000000"
"5","2","62.5","1","2","15","11","26","7913887","8000000","1","86113","1","8000000"
"5","2","62.5","1","2","15","12","27","8176031","9000000","1","823969","1","9000000"
"5","2","62.5","1","2","15","13","28","8438175","9000000","1","561825","1","9000000"
"5","2","62.5","1","2","15","14","29","8700319","9000000","1","299681","1","9000000"
"5","2","62.5","1","2","15","15","30","8962463","9000000","1","37537","1","9000000"
"5","2","62.5","1","2","15","16","31","9224607","10000000","1","775393","1","10000000"
"5","2","62.5","1","2","16","1","17","5554591","6000000","1","445409","1","6000000"
"5","2","62.5","1","2","16","2","18","5816735","6000000","1","183265","1","6000000"
"5","2","62.5","1","2","16","3","19","6078879","7000000","1","921121","1","7000000"
"5","2","62.5","1","2","16","4","20","6341023","7000000","1","658977","1","7000000"
"5","2","62.5","1","2","16","5","21","6603167","7000000","1","396833","1","7000000"
"5","2","62.5","1","2","16","6","22","6865311","7000000","1","134689","1","7000000"
"5","2","62.5","1","2","16","7","23","7127455","8000000","1","872545","1","8000000"
"5","2","62.5","1","2","16","8","24","7389599","8000000","1","610401","1","8000000"
"5","2","62.5","1","2","16","9","25","7651743","8000000","1","348257","1","8000000"
"5","2","62.5","1","2","16","10","26","7913887","8000000","1","86113","1","8000000"
"5","2","62.5","1","2","16","11","27","8176031","9000000","1","823969","1","9000000"
"5","2","62.5","1","2","16","12","28","8438175","9000000","1","561825","1","9000000"
"5","2","62.5","1","2","16","13","29","8700319","9000000","1","299681","1","9000000"
"5","2","62.5","1","2","16","14","30","8962463","9000000","1","37537","1","9000000"
"5","2","62.5","1","2","16","15","31","9224607","10000000","1","775393","1","10000000"
"5","2","62.5","1","2","16","16","32","9486751","10000000","1","513249","1","10000000"
"5","2","62.5","2","2","1","1","2","1622431","1750000","4","127569","1","7000000"
"5","2","62.5","2","2","1","2","3","1884575","2000000","2","115425","1","4000000"
"5","2","62.5","2","2","1","3","4","2146719","2250000","4","103281","1","9000000"
"5","2","62.5","2","2","1","4","5","2408863","2500000","2","91137","1","5000000"
"5","2","62.5","2","2","1","5","6","2671007","3000000","2","328993","1","6000000"
"5","2","62.5","2","2","1","6","7","2933151","3000000","2","66849","1","6000000"
"5","2","62.5","2","2","1","7","8","3195295","3500000","2","304705","1","7000000"
"5","2","62.5","2","2","1","8","9","3457439","3500000","2","42561","1","7000000"
"5","2","62.5","2","2","1","9","10","3719583","4000000","2","280417","1","8000000"
"5","2","62.5","2","2","1","10","11","3981727","4000000","2","18273","1","8000000"
"5","2","62.5","2","2","1","11","12","4243871","4500000","2","256129","1","9000000"
"5","2","62.5","2","2","1","12","13","4506015","5000000","2","493985","1","10000000"
"5","2","62.5","2","2","1","13","14","4768159","5000000","2","231841","1","10000000"
"5","2","62.5","2","2","2","1","3","1884575","2000000","2","115425","1","4000000"
"5","2","62.5","2","2","2","2","4","2146719","2250000","4","103281","1","9000000"
"5","2","62.5","2","2","2","3","5","2408863","2500000","2","91137","1","5000000"
"5","2","62.5","2","2","2","4","6","2671007","3000000","2","328993","1","6000000"
"5","2","62.5","2","2","2","5","7","2933151","3000000","2","66849","1","6000000"
"5","2","62.5","2","2","2","6","8","3195295","3500000","2","304705","1","7000000"
"5","2","62.5","2","2","2","7","9","3457439","3500000","2","42561","1","7000000"
"5","2","62.5","2","2","2","8","10","3719583","4000000","2","280417","1","8000000"
"5","2","62.5","2","2","2","9","11","3981727","4000000","2","18273","1","8000000"
"5","2","62.5","2","2","2","10","12","4243871","4500000","2","256129","1","9000000"
"5","2","62.5","2","2","2","11","13","4506015","5000000","2","493985","1","10000000"
